"sample_id","stratum_id","is_prior","X","Y"
1,1,FALSE,-75.3682784421159,-11.7033310114903
2,2,FALSE,-75.33984739168,-11.6977025335783
3,3,FALSE,-75.3953202353437,-11.7279463349942
4,4,FALSE,-75.3530755037783,-11.6968304357453
5,5,FALSE,-75.4141389990776,-11.7203163862836
6,6,FALSE,-75.396634569273,-11.658885951477
7,7,FALSE,-75.3804512871654,-11.6732857755879
8,8,FALSE,-75.4163407593,-11.7295639715762
9,9,FALSE,-75.4049880612685,-11.7073955878038
10,10,FALSE,-75.3835652876369,-11.7203163831886
11,11,FALSE,-75.4075335585334,-11.7164999229346
12,12,FALSE,-75.4680391306909,-11.7488518506762
13,13,FALSE,-75.3805834045187,-11.7034064875995
14,14,FALSE,-75.34623521218,-11.686100300219
15,15,FALSE,-75.3347589989756,-11.6867148880187
16,16,FALSE,-75.4172340104328,-11.6940834330323
17,17,FALSE,-75.3435930498731,-11.6745188154654
18,18,FALSE,-75.4141389512529,-11.6807854757837
19,19,FALSE,-75.4299919375432,-11.7342978576685
20,20,FALSE,-75.4064766426776,-11.6520163213879
21,21,FALSE,-75.3598159432363,-11.7094835020784
22,22,FALSE,-75.3902084632386,-11.6838167321696
23,23,FALSE,-75.3464333769382,-11.7071055367253
24,24,FALSE,-75.4021170955457,-11.670115176851
25,25,FALSE,-75.4562484783359,-11.7394720938784
26,26,FALSE,-75.377882534979,-11.6952157826464
27,27,FALSE,-75.3375160591815,-11.7035826449342
28,28,FALSE,-75.3959740717737,-11.6501337842903
29,29,FALSE,-75.3567318209102,-11.6752794129525
30,30,FALSE,-75.4280102622572,-11.7150320522848
31,31,FALSE,-75.4128178688379,-11.6587915906691
32,32,FALSE,-75.3633280092529,-11.6868827724944
33,33,FALSE,-75.3557176702845,-11.6878764144799
34,34,FALSE,-75.3688446273289,-11.6937059532434
35,35,FALSE,-75.3921208654256,-11.6638033249988
36,36,FALSE,-75.3890957739894,-11.7049803112176
37,37,FALSE,-75.38801081975,-11.6699683800224
38,38,FALSE,-75.4257644657366,-11.7250722795377
39,39,FALSE,-75.4000678743785,-11.6933724410609
40,40,FALSE,-75.3619561215639,-11.6978579382859
41,41,FALSE,-75.3731853160374,-11.6843168439948
42,42,FALSE,-75.4088546348086,-11.6744558850765
43,43,FALSE,-75.3634263585278,-11.6628279317335
44,44,FALSE,-75.401682999209,-11.6586028586456
45,45,FALSE,-75.3945113992249,-11.6721911528656
46,46,FALSE,-75.447064399758,-11.7411488699776
47,47,FALSE,-75.3818112360094,-11.6605567505163
48,48,FALSE,-75.3747580613635,-11.7123269675223
49,49,FALSE,-75.4438846413665,-11.7305867564007
50,50,FALSE,-75.3700147426879,-11.672493135048
