"sample_id","stratum_id","is_prior","X","Y"
1,1,FALSE,455085.29029845,8711757.06814081
2,2,FALSE,459175.784656302,8706237.80181754
3,3,FALSE,456263.845853682,8703499.92660462
4,4,FALSE,455690.8865376,8705095.50951016
5,5,FALSE,460111.376450917,8705240.56250158
6,6,FALSE,458845.789100837,8704482.66062144
7,7,FALSE,463839.238330236,8708203.26985119
8,8,FALSE,457638.222947322,8708442.60728702
9,9,FALSE,455473.307050481,8704174.42301469
10,10,FALSE,459487.648587841,8710654.66540607
11,11,FALSE,454483.320384086,8707826.13207352
12,12,FALSE,453674.649956957,8706477.13925337
13,13,FALSE,463458.474227777,8706658.45549264
14,14,FALSE,460452.250980738,8711191.3614743
15,15,FALSE,450791.72175262,8702810.92489541
16,16,FALSE,453504.212692046,8704091.01754463
17,17,FALSE,458323.59833175,8705189.79395458
18,18,FALSE,458091.513545489,8706912.29822761
19,19,FALSE,461939.044142723,8708315.68591954
20,20,FALSE,461315.316279647,8707557.7840394
21,21,FALSE,457533.059528548,8705828.0271168
22,22,FALSE,455107.048247162,8709824.23703023
23,23,FALSE,448311.315599454,8701015.89412667
24,24,FALSE,455458.801751339,8706524.28147558
25,25,FALSE,452158.846196689,8703586.95839947
26,26,FALSE,458896.557647832,8708058.21685978
27,27,FALSE,456060.771665704,8707688.33173167
28,28,FALSE,459034.357989674,8707318.44660357
29,29,FALSE,450911.390470536,8701984.12284435
30,30,FALSE,458722.494058136,8710150.60626091
31,31,FALSE,452615.763119641,8702567.96113479
32,32,FALSE,462733.209270711,8705907.80626208
33,33,FALSE,456445.162092949,8706966.69309939
34,34,FALSE,463226.389441515,8708634.80250064
35,35,FALSE,452818.837307619,8703800.9115618
36,36,FALSE,455926.597648647,8712507.71737138
37,37,FALSE,461627.180211185,8706437.24968074
38,38,FALSE,462265.413373403,8707608.5525864
39,39,FALSE,456075.276964845,8709465.23087648
40,40,FALSE,454117.061580767,8703260.58916879
41,41,FALSE,459795.886194594,8707006.58267203
42,42,FALSE,456263.845853682,8705991.21173214
43,43,FALSE,460198.408245765,8710165.11156005
44,44,FALSE,460818.509784057,8706941.3088259
45,45,FALSE,453903.108418433,8705294.95737336
46,46,FALSE,461717.838330818,8705516.16318526
47,47,FALSE,456510.435939085,8708754.47121856
48,48,FALSE,459331.716622071,8705233.30985201
49,49,FALSE,455143.311495016,8705664.84250146
50,50,FALSE,457594.707049898,8704638.59258721
51,51,FALSE,455302.86978557,8707652.06848382
52,52,FALSE,455843.192178584,8710273.90130361
53,53,FALSE,459799.512519379,8708613.04455193
54,54,FALSE,454693.647221635,8708779.85549206
55,55,FALSE,455538.580896617,8708652.93412457
56,56,FALSE,456742.520725346,8712199.47976462
57,57,FALSE,457674.486195176,8703057.51498081
58,58,FALSE,463019.688928752,8709606.65754311
59,59,FALSE,459382.485169066,8709519.62574827
60,60,FALSE,457819.539186589,8707590.42096247
61,61,FALSE,455386.275255633,8703285.97344228
62,62,FALSE,457108.779528664,8703935.08557886
63,63,FALSE,456883.947391974,8705280.45207421
64,64,FALSE,458382.64233787,8711116.97532486
65,65,FALSE,454492.246722019,8703942.43121112
66,66,FALSE,450110.902519846,8701855.89971925
67,67,FALSE,458148.325967125,8703827.13267948
68,68,FALSE,451371.747752899,8703466.35985468
69,69,FALSE,463087.566290118,8707498.08915447
70,70,FALSE,460882.016959143,8708439.07394492
71,71,FALSE,461298.579396022,8709164.33890199
72,72,FALSE,458382.64233787,8706118.22608231
73,73,FALSE,456348.181150613,8704548.67832907
74,74,FALSE,458747.134470139,8708781.25023236
75,75,FALSE,460383.629757877,8709335.42704571
76,76,FALSE,460889.455574088,8705761.17256499
77,77,FALSE,454354.63234555,8706010.36616562
78,78,FALSE,456586.21682883,8710901.25549148
79,79,FALSE,455291.897828527,8710953.32579609
80,80,FALSE,456958.147576043,8710161.11330452
81,81,FALSE,462432.968175023,8709008.12798816
82,82,FALSE,461789.527982344,8709744.55086764
83,83,FALSE,460179.06784691,8707817.94959708
84,84,FALSE,456917.235193849,8707929.52882124
85,85,FALSE,461090.298177583,8710384.27175285
86,86,FALSE,449437.70786739,8701327.75805821
87,87,FALSE,451799.468112194,8702503.0592194
88,88,FALSE,457359.832783033,8711213.67731914
89,89,FALSE,460175.348539438,8706214.92807659
90,90,FALSE,458163.203197014,8709287.07604857
91,91,FALSE,454626.141791015,8706899.28065146
92,92,FALSE,457251.972866341,8709354.02358307
93,93,FALSE,453264.875256215,8705017.31107056
94,94,FALSE,457114.358489872,8706616.61328358
95,95,FALSE,454600.10663871,8704749.52093257
96,96,FALSE,462470.161249744,8706698.43804797
97,97,FALSE,456084.110320092,8711563.29222152
98,98,FALSE,457858.219984299,8710261.53460627
99,99,FALSE,456835.410429462,8702874.98996661
100,100,FALSE,453383.893095323,8702763.41074245
