"stratum_id","sample_id","X","Y"
1,1,452692.001264727,8704322.64888383
1,2,453032.019661541,8704437.59927191
1,3,453273.387301277,8704864.35754609
2,4,455763.33556266,8712114.13752347
2,5,455926.312214082,8711587.13940116
2,6,455558.433047804,8712669.37256912
3,7,462454.626671849,8708825.4264445
3,8,462391.995843155,8708646.75643757
3,9,461542.858845932,8708976.44366783
4,10,461176.240461192,8705690.79693691
4,11,461631.053779264,8704996.06221908
4,12,461847.689738952,8705195.38818994
5,13,454334.291174983,8705270.9340911
5,14,453571.103137655,8706099.44626732
5,15,453739.52175682,8705826.56255273
6,16,458416.193346287,8704667.18720439
6,17,458700.454307297,8704232.83764206
6,18,458615.757102624,8704836.57915916
7,19,459979.637633012,8705454.76448463
7,20,460517.791926496,8705245.08095446
7,21,460849.012943362,8705283.62156704
8,22,462618.380765639,8709285.2584923
8,23,462580.916295799,8709287.60596715
8,24,462911.490680907,8709338.55921899
9,25,456806.259315679,8702768.02299514
9,26,456849.737806006,8702665.90356304
9,27,456998.691502934,8702503.79959389
10,28,462775.035052449,8707165.04438067
10,29,462645.849776028,8706561.30975646
10,30,463072.607697984,8706770.56635712
11,31,454199.914838116,8707082.41424802
11,32,454517.794498172,8706574.07847756
11,33,455004.286809565,8707433.95909165
12,34,461447.575962058,8708313.93250581
12,35,461016.075658447,8708779.8474514
12,36,461432.41588015,8708752.66611512
13,37,461845.28153071,8709546.35642603
13,38,461300.868544718,8709806.35731656
13,39,461666.108196707,8709910.3840785
14,40,456808.899582621,8706739.19744357
14,41,456900.33804238,8706790.30444351
14,42,456752.61897529,8706703.04732258
15,43,450249.660944674,8701464.02551444
15,44,450277.28460323,8702318.82518251
15,45,449822.732012279,8701747.59575294
16,46,459356.411071767,8708029.18683546
16,47,458942.96037355,8707870.08391297
16,48,458694.956605435,8707928.990675
17,49,454989.723410938,8707667.26148891
17,50,454771.844629345,8708205.27472853
17,51,454423.764781936,8707538.59685733
18,52,463499.048219404,8708630.89095218
18,53,463369.691158672,8708191.00937277
18,54,463873.088055257,8707985.13727239
19,55,460721.52021874,8710550.4847838
19,56,461127.570458554,8710515.74844248
19,57,461329.838201855,8710740.89928513
20,58,461263.420407509,8706768.73303628
20,59,461222.704085659,8706815.36034697
20,60,461346.533913388,8707448.48547759
21,61,456262.616982211,8706422.07574308
21,62,456178.955534598,8706377.37243032
21,63,456095.988955939,8706658.23287038
22,64,449622.085009127,8701300.63249161
22,65,449862.780747646,8701481.21488705
22,66,449530.436471799,8701116.03428021
23,67,453873.911564932,8706586.90542002
23,68,454174.683259675,8706376.17573038
23,69,453284.347929647,8706240.53226486
24,70,457232.915964661,8710793.22883769
24,71,457122.892064366,8710540.51776743
24,72,457183.557329779,8710223.45129879
25,73,457446.837017788,8709576.43374986
25,74,457609.30247242,8709460.66303577
25,75,457639.172232003,8709482.18878237
26,76,463065.143830356,8707897.42795197
26,77,463227.226450205,8707695.72845374
26,78,463504.222390689,8707718.67750562
27,79,453887.53041984,8703550.00928033
27,80,453830.37332975,8702781.00081502
27,81,453828.236380402,8703444.32524108
28,82,459336.022408139,8706039.17541363
28,83,458893.595760191,8705756.98396721
28,84,459337.229003343,8706173.82474816
29,85,457256.33578207,8704832.15438247
29,86,457552.765970757,8703948.25580487
29,87,457526.175255262,8704567.04605261
30,88,459419.206370341,8707280.13627218
30,89,458993.439998958,8707145.44469093
30,90,459814.350903744,8707062.96686735
31,91,459915.631038715,8711185.31290185
31,92,460010.024902708,8711525.71011788
31,93,460443.225987679,8711244.59901576
32,94,457330.85900566,8707895.80185894
32,95,457096.813336601,8707603.79344313
32,96,456637.675432258,8707485.01365789
33,97,457915.118724613,8705144.04654208
33,98,458159.168600173,8704561.09193123
33,99,458017.125082993,8704655.73918964
34,100,452308.56663901,8702556.34968273
34,101,452120.054585959,8702840.4190462
34,102,451967.458647997,8702015.60790653
35,103,463541.853709573,8708872.51445302
35,104,462937.632438721,8708933.57236149
35,105,462956.339266135,8708944.39170543
36,106,455477.139480109,8706961.97736045
36,107,455795.726852129,8706305.78956082
36,108,455558.495769021,8706328.58423594
37,109,456426.471922146,8711108.37043654
37,110,456388.870541711,8710697.1207769
37,111,456652.486304329,8711381.04033699
38,112,459624.286337493,8705363.74058872
38,113,459686.933271811,8704855.56574041
38,114,459785.391752213,8705082.54935107
39,115,462378.916649898,8706302.86788495
39,116,462917.164596414,8705621.36854942
39,117,462452.241851264,8705673.49593423
40,118,460862.606961682,8709418.61437754
40,119,460978.043937388,8709018.10228092
40,120,460979.539181674,8709414.20298604
41,121,456082.035832251,8707212.02468863
41,122,455883.840712445,8707585.5279937
41,123,455777.234804616,8707522.7576709
42,124,458610.427488796,8708421.4204247
42,125,458333.287503623,8708942.15281232
42,126,457942.529424352,8709036.45133949
43,127,459740.199036544,8709142.99957442
43,128,459921.220871426,8709461.7104891
43,129,459442.868985861,8709591.77819435
44,130,454998.816847401,8704577.27786167
44,131,455069.374190897,8704190.10727751
44,132,455551.810393124,8703976.21120098
45,133,460741.899736354,8705907.29981323
45,134,460930.272233217,8706241.82099441
45,135,460815.182902609,8705794.12638496
46,136,459573.413568949,8708545.38807797
46,137,459580.883390511,8709090.29857881
46,138,460326.321211429,8708512.30515856
47,139,454339.804279016,8705000.68751247
47,140,454067.504254345,8704898.0735781
47,141,453704.148773822,8704713.33196262
48,142,448334.086870873,8700821.0090132
48,143,448441.279980441,8701175.61953321
48,144,448564.314595341,8700972.42976335
49,145,457400.144316949,8711291.31514202
49,146,457338.68323913,8711526.55623094
49,147,456913.740939189,8711372.33777815
50,148,461940.069079418,8707470.30097296
50,149,462148.363629047,8707763.71581769
50,150,462477.171159437,8707492.76632737
51,151,450438.124898122,8702821.55436347
51,152,450495.253980198,8703170.97039877
51,153,450575.530883579,8702347.48243215
52,154,463228.623756818,8706566.77226679
52,155,463457.932856256,8706614.87256787
52,156,463189.15332095,8706738.60290285
53,157,458983.410324498,8709301.77121544
53,158,458859.843366683,8709346.25409275
53,159,458770.961999216,8709445.68789636
54,160,459533.087293685,8710314.83680482
54,161,460321.490716344,8710479.27210296
54,162,460149.462361346,8710841.89024571
55,163,456744.948177126,8711963.75473329
55,164,456385.149166026,8711734.26663532
55,165,457065.705621886,8711573.97127469
56,166,462250.227302557,8706791.15793236
56,167,461800.570790351,8705920.06044479
56,168,462127.922323131,8706226.88029815
57,169,453491.018481346,8703613.60566381
57,170,453256.339511234,8703389.88477869
57,171,453083.775757514,8703322.57326292
58,172,456911.485717335,8704625.01985278
58,173,456848.06453526,8704614.9832707
58,174,456858.681859433,8704696.3907037
59,175,462679.02285983,8708127.03579633
59,176,462061.841398262,8708251.41013564
59,177,462323.20243318,8708351.6622507
60,178,458143.043096851,8708344.372731
60,179,458025.359275509,8708119.64911944
60,180,457901.777190599,8708299.77969253
61,181,455323.037883671,8705713.89412808
61,182,455256.191608565,8705155.21273819
61,183,454984.290351628,8705277.98644635
62,184,453952.998308219,8703891.17379652
62,185,454312.008182802,8704002.54652887
62,186,454784.10861549,8704033.68538863
63,187,455023.183956713,8703699.73895326
63,188,455118.721084128,8703096.62041092
63,189,454859.603963757,8703402.22423768
64,190,457999.894125473,8706797.12705624
64,191,458148.09469294,8707017.5094657
64,192,457701.559146578,8707013.90440415
65,193,455490.254238377,8703219.48916221
65,194,455963.101514616,8703016.4831912
65,195,455801.441356309,8703360.30419806
66,196,458112.221022345,8710922.43484889
66,197,458157.231200397,8710311.25379168
66,198,457824.610313829,8710442.54218494
67,199,456935.275830442,8709067.10309175
67,200,457419.686670298,8708814.23794518
67,201,456684.200029091,8708547.58263233
68,202,455846.946551368,8711307.88509776
68,203,455738.380623372,8711360.90692741
68,204,455317.189345839,8711051.89431575
69,205,457665.964978373,8706199.04661598
69,206,457543.204901897,8705071.13348061
